r,pt,steps,FOMCost
16,5,1,5000.0
16,6,1,156200.0
16,7,1,261200.0
16,8,1,150600.0
16,9,1,5000.0
16,10,1,33500.0
16,10,2,33500.0
16,11,1,5000.0
16,12,1,40000.0
16,13,1,154000.0
16,14,1,33100.0
16,15,1,20200.0
16,15,2,5000.0
17,1,1,61600.0
17,1,2,61600.0
17,1,3,61600.0
17,2,1,5000.0
17,2,2,5000.0
17,2,3,5000.0
17,3,1,6900.0
17,3,2,6900.0
17,3,3,6900.0
17,4,1,12100.0
17,4,2,12100.0
17,4,3,12100.0
17,5,1,5000.0
17,6,1,156200.0
17,7,1,261200.0
17,8,1,150600.0
17,9,1,5000.0
17,10,1,33500.0
17,10,2,33500.0
17,11,1,5000.0
17,12,1,40000.0
17,13,1,154000.0
17,14,1,33100.0
17,15,1,20200.0
17,15,2,5000.0
18,1,1,61600.0
18,1,2,61600.0
18,1,3,61600.0
18,2,1,5000.0
18,2,2,5000.0
18,2,3,5000.0
18,3,1,6900.0
18,3,2,6900.0
18,3,3,6900.0
18,4,1,12100.0
18,4,2,12100.0
18,4,3,12100.0
18,5,1,5000.0
18,6,1,156200.0
18,7,1,261200.0
18,8,1,150600.0
18,9,1,5000.0
18,10,1,33500.0
18,10,2,33500.0
18,11,1,5000.0
18,12,1,40000.0
18,13,1,154000.0
18,14,1,33100.0
18,15,1,20200.0
18,15,2,5000.0
19,1,1,61600.0
19,1,2,61600.0
19,1,3,61600.0
19,2,1,5000.0
19,2,2,5000.0
19,2,3,5000.0
19,3,1,6900.0
19,3,2,6900.0
19,3,3,6900.0
19,4,1,12100.0
19,4,2,12100.0
19,4,3,12100.0
19,5,1,5000.0
19,6,1,156200.0
19,7,1,261200.0
19,8,1,150600.0
19,9,1,5000.0
19,10,1,33500.0
19,10,2,33500.0
19,11,1,5000.0
19,12,1,40000.0
19,13,1,154000.0
19,14,1,33100.0
19,15,1,20200.0
19,15,2,5000.0
20,1,1,61600.0
20,1,2,61600.0
20,1,3,61600.0
20,2,1,5000.0
20,2,2,5000.0
20,2,3,5000.0
20,3,1,6900.0
20,3,2,6900.0
20,3,3,6900.0
20,4,1,12100.0
20,4,2,12100.0
20,4,3,12100.0
20,5,1,5000.0
20,6,1,156200.0
20,7,1,261200.0
20,8,1,150600.0
20,9,1,5000.0
20,10,1,33500.0
20,10,2,33500.0
20,11,1,5000.0
20,12,1,40000.0
20,13,1,154000.0
20,14,1,33100.0
20,15,1,20200.0
20,15,2,5000.0
21,1,1,61600.0
21,1,2,61600.0
21,1,3,61600.0
21,2,1,5000.0
21,2,2,5000.0
21,2,3,5000.0
21,3,1,6900.0
21,3,2,6900.0
21,3,3,6900.0
21,4,1,12100.0
21,4,2,12100.0
21,4,3,12100.0
21,5,1,5000.0
21,6,1,156200.0
